Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,73.97,73.46,73.96,1001,331,356,951
5,LightGBM,79.8,79.54,79.8,1070,262,271,1036
5,CatBoost,77.68,77.41,77.68,1041,291,298,1009
5,ExtraTree,77.53,76.77,77.51,1066,266,327,980
6,RandomForest,70.33,70.24,70.33,932,400,383,924
6,LightGBM,77.79,77.77,77.8,1028,304,282,1025
6,CatBoost,75.52,75.4,75.52,1003,329,317,990
6,ExtraTree,76.13,75.27,76.1,1050,282,348,959
7,RandomForest,67.34,67.3,67.34,889,430,431,886
7,LightGBM,76.56,77.04,76.56,981,338,280,1037
7,CatBoost,73.37,73.61,73.37,955,364,338,979
7,ExtraTree,74.89,74.52,74.89,1006,313,349,968
8,RandomForest,71.48,70.94,71.48,967,358,394,918
8,LightGBM,78.35,78.28,78.35,1037,288,283,1029
8,CatBoost,73.91,73.5,73.9,995,330,358,954
8,ExtraTree,75.73,75.12,75.72,1031,294,346,966
9,RandomForest,71.01,70.52,71.0,959,373,392,915
9,LightGBM,77.45,77.37,77.46,1027,305,290,1017
9,CatBoost,74.12,73.62,74.11,1003,329,354,953
9,ExtraTree,75.86,75.34,75.85,1029,303,334,973
10,RandomForest,73.23,73.07,73.23,973,352,354,958
10,LightGBM,78.8,78.91,78.81,1032,293,266,1046
10,CatBoost,76.19,76.46,76.19,989,336,292,1020
10,ExtraTree,77.66,77.54,77.66,1031,294,295,1017
11,RandomForest,72.14,71.81,72.14,967,348,387,936
11,LightGBM,80.1,79.92,80.1,1068,247,278,1045
11,CatBoost,77.45,77.5,77.44,1018,297,298,1025
11,ExtraTree,77.03,76.48,77.04,1047,268,338,985
12,RandomForest,76.17,76.68,76.15,976,326,303,1034
12,LightGBM,81.92,82.44,81.9,1042,260,217,1120
12,CatBoost,80.18,80.51,80.17,1036,266,257,1080
12,ExtraTree,79.65,80.09,79.64,1022,280,257,1080
13,RandomForest,78.63,79.13,78.61,1006,296,268,1069
13,LightGBM,85.26,85.69,85.23,1085,217,172,1165
13,CatBoost,84.16,84.64,84.13,1069,233,185,1152
13,ExtraTree,82.87,83.22,82.86,1066,236,216,1121
14,RandomForest,80.49,80.62,80.49,1053,249,266,1071
14,LightGBM,86.21,86.47,86.2,1112,190,174,1163
14,CatBoost,84.96,85.31,84.94,1089,213,184,1153
14,ExtraTree,84.01,84.17,84.01,1095,207,215,1122
15,RandomForest,81.93,82.18,81.93,1063,249,228,1100
15,LightGBM,88.9,89.13,88.89,1146,166,127,1201
15,CatBoost,87.05,87.13,87.04,1140,172,170,1158
15,ExtraTree,84.55,84.75,84.54,1098,214,194,1134
